symbol,position
AMD,217
GE,500
EA,48
VALE,454
ABEV,1000
ACB,714
MU,131
ATVI,125
CRON,250
SNAP,555
BAC,178
CHK,2500
TWTR,166
NOK,833
ECA,833
SAN,1000
F,625
COTY,500
ROKU,108
PDD,185
AAPL,29
GGB,1250
SPI,1250
AKS,1666
CLF,416
NVDA,34
SQ,66
T,172
CGC,119
